shrid,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,winner,vote_share_diff,dynastic,dynastic_1,dynast_3,num_cells,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,max_light2013,ec13_district_name.x
11-08-069940,Rajasthan,13,3,1999,9,0,3,2,narendra budania,M,INC,304676,NA,680334,1239736,churu,GEN,NA,8,54.88,44.78,no,294462,43.28,2.13,GERJ32672,National Party,3482,TRUE,5,INC,3482,CHURU,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,60,29.5,47.5,3.5,70,123.5,3.5,80,140,5,8,churu
11-08-069940,Rajasthan,14,3,2004,4,0,3,2,bal ram jakhar,M,INC,370864,GEN,833976,1371821,churu,GEN,NA,9,60.79,44.47,no,340722,40.86,2.33,GEPB29330,National Party,3482,TRUE,7,INC,3482,SIKAR,FALSE,TRUE,4,FALSE,FALSE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,60,29.5,47.5,3.5,70,123.5,3.5,80,140,5,8,churu
11-08-069940,Rajasthan,15,3,2009,4,0,4,2,rafique mandelia,M,INC,364268,GEN,802467,1532266,churu,GEN,NA,15,52.37,45.39,no,338578,42.19,2.33,GERJ9009,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,10th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,60,29.5,47.5,3.5,70,123.5,3.5,80,140,5,8,churu
11-08-069940,Rajasthan,13,3,1999,9,0,3,1,ram singh kaswan,M,BJP,351485,GEN,680334,1239736,churu,GEN,NA,8,54.88,51.66,no,46809,6.88,2.13,GERJ46750,National Party,1605,TRUE,4,BJP,1605,CHURU,TRUE,TRUE,2,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,6.88,1,0,1,60,29.5,47.5,3.5,70,123.5,3.5,80,140,5,8,churu
11-08-071772,Rajasthan,14,8,2004,4,0,3,2,mahant chandnath,M,BJP,238462,GEN,542876,1262622,alwar,GEN,NA,12,43,43.93,no,217215,40.01,2.5,GERJ76526,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,3,16,20,5.5,24,31.5,8,28,34,10,15,alwar
11-08-071772,Rajasthan,14,8,2004,4,0,3,1,dr. karan singh yadav,M,INC,246833,GEN,542876,1262622,alwar,GEN,NA,12,43,45.47,no,8371,1.54,2.5,GEPB84329,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,1.54,1,1,1,3,16,20,5.5,24,31.5,8,28,34,10,15,alwar
11-08-071772,Rajasthan,15,8,2009,4,0,4,1,jitendra singh,M,INC,450119,GEN,762694,1373384,alwar,GEN,NA,16,55.53,59.02,no,156619,20.53,2,AERJ12765,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,20.54,1,0,1,3,16,20,5.5,24,31.5,8,28,34,10,15,alwar
11-08-071772,Rajasthan,13,8,1999,9,0,3,1,dr. jaswant singh yadav,M,BJP,325556,NA,614866,1156697,alwar,GEN,NA,8,53.16,52.95,no,57928,9.42,2.13,AERJ6,National Party,1605,TRUE,3,BJP,1605,ALWAR,TRUE,TRUE,1,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,9.42,1,1,1,3,16,20,5.5,24,31.5,8,28,34,10,15,alwar
11-08-071772,Rajasthan,15,8,2009,4,0,4,2,dr.kiran yadav,F,BJP,293500,GEN,762694,1373384,alwar,GEN,NA,16,55.53,38.48,no,288826,37.87,2,GERJ9180,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,3,16,20,5.5,24,31.5,8,28,34,10,15,alwar
11-08-071772,Rajasthan,13,8,1999,9,0,3,2,mahendra kumari,F,INC,267628,NA,614866,1156697,alwar,GEN,NA,8,53.16,43.53,no,258842,42.1,2.13,GERJ46854,National Party,3482,TRUE,3,IND,10809,ALWAR,TRUE,FALSE,1,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,1,0,1,3,16,20,5.5,24,31.5,8,28,34,10,15,alwar
11-08-073835,Rajasthan,13,7,1999,9,0,3,1,rajesh pilot,M,INC,372263,NA,745274,1261758,dausa,GEN,NA,5,59.07,49.95,no,6902,0.93,2.04,GERJ30086,National Party,3482,FALSE,7,INC,3482,DAUSA,TRUE,TRUE,6,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,0.93,1,1,1,3,12,15,4,12,16.5,4,21,24,7,12,alwar
